verb,sentence,verb_idx,label,definition
flying,"For example , investigators learned that the takeoff warning sounded when the crew landed in Saginaw , Mich . , before flying on to Detroit",21,0,to move through the air or before the wind or through outer space
dragging,The oil - service business has been dragging the company 's stock price down since the oil industry peaked in 1981,7,1,to draw or pull slowly or heavily : haul
drowning,"This , for many American communities , is the latest alternative to drowning in garbage",12,1,overwhelm
fix,"He added that neither the Fed , nor any other U.S. government agency or international body should try to fix exchange rates",19,1,"to make firm, stable, or stationary"
attack,"They have agreed to attack only the Socalists , not each other , so Mr. Barre must find a way to beat Mr. Chirac without talking about him",4,1,to assail with unfriendly or bitter words
grasp,"As a Journal editorial writer in the 1970s , he was among the first to grasp the essentials of supply side economics",15,1,to lay hold of with the mind : comprehend
roll,"For only $ 4.95 , it advises me to wrinkle up my nose , pucker my lips , grit my teeth -LRB- but not too tightly -RRB- , smile for a while , open my mouth wide , drop my jaw and roll my eyes around to relax",42,0,to cause to move in a circular manner
miss,Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would miss major U.S. oil facilities,17,0,"to fail to hit, reach, or contact"
pour,"Money continues to pour into venture - capital funds , but investors are becoming increasingly selective about the partnerships with which they place money",3,1,to supply or produce freely or copiously
lend,"Mr. Hopfield , known mainly for his work on neural networks , believes that electronically controllable polymers may lend themselves to the complicated wiring of neural networks",18,1,"to give the assistance or support of : afford , furnish"
sleeping,"'' We 're not sleeping anymore , '' says Hans Decker , president of New York - based Siemens Capital Corp",4,1,to be in a state (as of quiescence or death) resembling sleep
stumbled,"Colgate Venture has stumbled , too",3,1,to trip in walking or running
grab,"'' Competitors are kept out , and carters ' costs are kept down , '' says Mr. Kossler , who testified publicly in 1983 about one incident : A New York businessman got into the garbage - hauling business and quickly tried to grab customers from other carters by underbidding them",43,1,to seize the attention of
riding,"Iran was riding high then as its army pounded Basra , Iraq 's second largest city",2,1,to travel as if on a conveyance : be borne
grasp,"Given a choice between two such frail reeds , Western Europe , led by West Germany , is likely to grasp at the chimera of Soviet good will rather than risk relying on increasingly remote and dubious American protection",20,1,to take or seize eagerly
stuck,"Thankfully , none of it stuck",5,1,"to become blocked, wedged, or jammed"
besieging,The marauding huns of the takeover game are besieging ever - larger corporate kingdoms,8,1,to surround with armed forces
destroying,"Weeks later , '' Penthouse finally realized that Dominion was intentionally destroying the deal , '' sought other financing , failed , and had to abandon the project , the judge said",11,1,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
struck,"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve",30,1,to strike at : hit
miss,This little romp does n't miss a cliche,5,1,to leave out : omit
drags,"Homework -- '' papers and papers and papers , '' Mrs. Laine says -- drags on for hours ; Finn and Blue wake up early some mornings just to finish",14,1,to proceed or continue laboriously or tediously
sticking,"David Seiders , chief economist for the National Association of Home Builders , is sticking to his forecast of mortgage rates of between 11 % and 11.5 % by year end",14,1,to hold fast or adhere resolutely : cling
roll,'' I ' m going to roll up my sleeves and make this work . ',6,1,to wrap round on itself : shape into a ball or roll ; also : to produce by such shaping
strike,A mergers and acquisitions expert close to the fight said that Bank of New York might have been able to strike a deal with Irving had it not rebuffed Irving 's recent overtures to come to the bargaining table,20,1,to shake (hands) in confirming an agreement
planted,"Last week , according to reports from Beirut , forces of the Iranian - directed Hezbollah , or Party of God , forced the rival , Syrian - backed Amal militia to withdraw from parts of the Lebanese capital 's Shiite Moslem slums and planted Iranian flags atop the mosques there",44,1,to place firmly or forcibly
fly,"The young aviator from Oceana , Calif . , was scheduled to fly to Greenland Sunday , then stop in Iceland before arriving in Paris on Wednesday",12,0,to operate or travel in an airplane or spacecraft
flooding,"Designers there have n't any intention of flooding the U.S. with Siberia - made , scratchy woolen socks or a line of apres - bowling wear",7,1,to fill abundantly or excessively
